FID,Join_Count,TARGET_FID,Id,osm_id,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel,pid,Lon,Lat
115,3,250,0,184497060,5122,residential, , ,B,0,0,F,F,1,113.247156,23.130309
116,3,263,0,445061111,5122,residential, , ,B,0,0,F,F,1,113.252712,23.160721
117,3,264,0,445061117,5122,residential, , ,B,0,0,F,F,1,113.253146,23.162204
118,3,271,0,445061119,5122,residential, , ,B,0,0,F,F,1,113.25472,23.162891
119,3,274,0,445061119,5122,residential, , ,B,0,0,F,F,1,113.255921,23.163108
120,3,278,0,188542613,5121,unclassified, , ,B,0,0,F,F,1,113.256048,23.158363
121,3,280,0,49401190,5122,residential, , ,B,0,0,F,F,1,113.256448,23.159318
122,3,281,0,188542613,5121,unclassified, , ,B,0,0,F,F,1,113.256569,23.158446
123,3,286,0,183401122,5122,residential, , ,B,0,0,F,F,1,113.256495,23.095859
124,4,287,0,246895371,5122,residential, , ,B,0,0,F,F,1,113.256591,23.099261
125,3,293,0,239040418,5122,residential, , ,B,0,0,F,F,1,113.257666,23.104828
126,3,295,0,190394498,5122,residential, , ,B,0,0,F,F,1,113.259012,23.165071
127,3,297,0,239040418,5122,residential, , ,B,0,0,F,F,1,113.258141,23.104972
128,2,301,0,437108417,5153,footway, , ,B,0,0,T,F,1,113.258338,23.095158
129,2,302,0,239040418,5122,residential, , ,B,0,0,F,F,1,113.258536,23.105306
130,3,303,0,437108417,5153,footway, , ,B,0,0,T,F,1,113.258403,23.095353
131,3,308,0,190394498,5122,residential, , ,B,0,0,F,F,1,113.260513,23.16517
132,3,309,0,437108415,5153,footway, , ,B,0,0,F,F,1,113.25938,23.095376
133,3,316,0,190394498,5122,residential, , ,B,0,0,F,F,1,113.261346,23.165294
134,3,317,0,443386422,5115,tertiary,松柏东街, ,B,0,0,F,F,1,113.261431,23.164594
135,2,318,0,437108414,5153,footway, , ,B,0,0,F,F,1,113.260341,23.095012
136,2,319,0,443386422,5115,tertiary,松柏东街, ,B,0,0,F,F,1,113.261551,23.165883
137,2,320,0,450229884,5115,tertiary,松柏东街, ,B,0,0,F,F,1,113.261733,23.166317
138,3,322,0,183362157,5122,residential, , ,B,0,0,F,F,1,113.260707,23.100433
139,2,323,0,449049273,5115,tertiary,松柏东街, ,B,0,0,F,F,1,113.262304,23.168328
140,3,324,0,450085840,5115,tertiary,松柏东街, ,B,0,0,F,F,1,113.262346,23.168713
141,2,325,0,450085840,5115,tertiary,松柏东街, ,B,0,0,F,F,1,113.26235,23.168831
142,2,326,0,443394405,5115,tertiary,松柏东街, ,B,0,0,F,F,1,113.262369,23.169893
143,2,327,0,139936431,5122,residential,云苑一街, ,B,0,0,F,F,1,113.262448,23.168123
144,3,328,0,337543865,5122,residential, , ,B,0,0,F,F,1,113.262546,23.168377
145,4,329,0,183362162,5122,residential, , ,B,0,0,F,F,1,113.261396,23.099187
146,4,331,0,337543865,5122,residential, , ,B,0,0,F,F,1,113.262706,23.168686
147,3,333,0,183400990,5122,residential, , ,B,0,0,F,F,1,113.262052,23.09808
148,3,335,0,139633265,5122,residential, , ,B,0,0,F,F,1,113.263638,23.169836
149,3,341,0,183362160,5122,residential, , ,B,0,0,F,F,1,113.263408,23.098769
150,3,342,0,183362162,5122,residential, , ,B,0,0,F,F,1,113.263449,23.100526
151,3,343,0,183362160,5122,residential, , ,B,0,0,F,F,1,113.263517,23.100394
152,4,346,0,183400990,5122,residential, , ,B,0,0,F,F,1,113.263724,23.098175
153,3,347,0,139633300,5122,residential, , ,B,0,0,F,F,1,113.265268,23.169368
154,3,349,0,185697206,5122,residential, , ,B,0,0,F,F,1,113.266182,23.208743
155,3,353,0,139633276,5122,residential,云龙路, ,B,0,0,F,F,1,113.266049,23.171602
156,4,355,0,437526962,5122,residential, , ,B,0,0,F,F,1,113.264821,23.095582
157,3,356,0,139633300,5122,residential, , ,B,0,0,F,F,1,113.266207,23.16912
158,3,357,0,183400990,5122,residential, , ,B,0,0,F,F,1,113.265148,23.098867
159,3,359,0,139936437,5122,residential,云苑二街, ,B,0,0,F,F,1,113.266385,23.167399
160,3,360,0,437526961,5122,residential, , ,B,0,0,F,F,1,113.265169,23.094687
161,3,362,0,139936437,5122,residential,云苑二街, ,B,0,0,F,F,1,113.266579,23.16771
162,3,363,0,139633280,5122,residential, , ,B,0,0,F,F,1,113.266826,23.170873
163,3,364,0,139633280,5122,residential, , ,B,0,0,F,F,1,113.266972,23.171324
164,3,370,0,188152356,5122,residential, , ,B,0,0,F,F,1,113.266371,23.096297
165,3,372,0,188152356,5122,residential, , ,B,0,0,F,F,1,113.266448,23.096332
166,3,374,0,185697208,5122,residential, , ,B,0,0,F,F,1,113.268386,23.209373
167,2,375,0,183302636,5122,residential, , ,B,0,0,F,F,1,113.266924,23.112556
168,3,379,0,186109157,5122,residential, , ,B,0,0,F,F,1,113.267123,23.108027
169,3,384,0,188152356,5122,residential, , ,B,0,0,F,F,1,113.267326,23.096734
170,3,385,0,188152356,5122,residential, , ,B,0,0,F,F,1,113.267468,23.0968
171,3,387,0,188152356,5122,residential, , ,B,0,0,F,F,1,113.268063,23.097077
172,2,389,0,186108990,5122,residential, , ,B,0,0,F,F,1,113.268342,23.111303
173,3,391,0,186108990,5122,residential, , ,B,0,0,F,F,1,113.268579,23.11204
174,3,396,0,242211127,5122,residential, , ,B,0,0,F,F,1,113.271393,23.206245
175,2,402,0,139932250,5122,residential, , ,B,0,0,F,F,1,113.27231,23.213549
176,4,405,0,185697043,5122,residential, , ,B,0,0,F,F,1,113.272361,23.208179
177,3,407,0,389338922,5122,residential, , ,B,0,0,F,F,1,113.272589,23.214596
178,3,409,0,445046662,5122,residential, , ,B,0,0,F,F,1,113.270682,23.097575
179,3,410,0,389338922,5122,residential, , ,B,0,0,F,F,1,113.272747,23.215343
180,2,411,0,185697043,5122,residential, , ,B,0,0,F,F,1,113.272784,23.208097
181,3,412,0,194643917,5122,residential, , ,B,0,0,F,F,1,113.271497,23.098308
182,3,413,0,139932233,5122,residential, , ,B,0,0,F,F,1,113.273534,23.209948
183,3,415,0,139932233,5122,residential, , ,B,0,0,F,F,1,113.273866,23.211069
184,3,416,0,27336706,5122,residential, , ,B,0,0,F,F,1,113.272299,23.106084
185,3,417,0,139932233,5122,residential, , ,B,0,0,F,F,1,113.274166,23.212365
186,4,419,0,139932233,5122,residential, , ,B,0,0,F,F,1,113.274366,23.21347
187,3,420,0,139932233,5122,residential, , ,B,0,0,F,F,1,113.274506,23.214281
188,3,421,0,139932233,5122,residential, , ,B,0,0,F,F,1,113.274548,23.214522
189,3,423,0,139932233,5122,residential, , ,B,0,0,F,F,1,113.274584,23.214727
190,2,424,0,194325504,5122,residential, , ,B,0,0,F,F,1,113.272642,23.099648
191,3,425,0,436823055,5122,residential, , ,B,0,0,F,F,1,113.272949,23.099808
192,3,426,0,437097619,5153,footway, , ,B,0,0,F,F,1,113.273298,23.098946
193,3,428,0,436823055,5122,residential, , ,B,0,0,F,F,1,113.274079,23.100154
194,2,435,0,194325503,5122,residential, , ,B,0,0,F,F,1,113.274885,23.100588
195,4,439,0,437097624,5153,footway, , ,B,0,0,F,F,1,113.275209,23.100205
196,4,440,0,191317324,5122,residential, , ,B,0,0,F,F,1,113.275093,23.092412
197,2,441,0,194643916,5153,footway, , ,B,0,0,T,F,1,113.275271,23.1006
198,2,443,0,437097629,5153,footway, , ,B,0,0,F,F,1,113.275559,23.099044
199,2,444,0,437097627,5153,footway, , ,B,0,0,T,F,1,113.275575,23.099223
200,3,445,0,191317324,5122,residential, , ,B,0,0,F,F,1,113.275507,23.094664
201,3,447,0,437097620,5153,footway, , ,B,0,0,F,F,1,113.275734,23.098554
202,3,448,0,437097641,5153,footway, , ,B,0,0,F,F,1,113.275777,23.100731
203,3,450,0,437097622,5153,footway, , ,B,0,0,F,F,1,113.275803,23.098524
204,3,452,0,437097630,5153,footway, , ,B,0,0,F,F,1,113.275839,23.098898
205,3,453,0,437097641,5153,footway, , ,B,0,0,F,F,1,113.27591,23.101161
206,3,454,0,437097622,5153,footway, , ,B,0,0,F,F,1,113.275868,23.097884
207,3,455,0,188152355,5122,residential, , ,B,0,0,F,F,1,113.275845,23.09497
208,3,456,0,437097620,5153,footway, , ,B,0,0,F,F,1,113.276323,23.098561
209,3,458,0,437097639,5153,footway, , ,B,0,0,F,F,1,113.276543,23.101329
210,3,459,0,437097639,5153,footway, , ,B,0,0,F,F,1,113.276544,23.100974
211,3,460,0,437097639,5153,footway, , ,B,0,0,F,F,1,113.276669,23.100388
212,3,461,0,437097629,5153,footway, , ,B,0,0,F,F,1,113.276658,23.099082
213,3,462,0,437097619,5153,footway, , ,B,0,0,F,F,1,113.27678,23.098966
214,3,463,0,329083128,5122,residential, , ,B,0,0,F,F,1,113.276826,23.094422
215,3,465,0,436823055,5122,residential, , ,B,0,0,F,F,1,113.277039,23.09885
216,3,466,0,188151978,5115,tertiary, , ,B,0,0,F,F,1,113.277003,23.092371
217,2,467,0,437097637,5153,footway, , ,B,0,0,T,F,1,113.277144,23.099339
218,3,468,0,437105493,5122,residential, , ,B,0,0,F,F,1,113.277365,23.09463
219,3,471,0,329083127,5122,residential, , ,B,0,0,F,F,1,113.277756,23.092516
220,3,473,0,437105493,5122,residential, , ,B,0,0,F,F,1,113.278234,23.094966
221,3,477,0,329083127,5122,residential, , ,B,0,0,F,F,1,113.278318,23.09263
222,4,478,0,294842693,5153,footway, , ,B,0,0,F,F,1,113.278967,23.130845
223,3,479,0,295825964,5153,footway, , ,B,0,0,F,F,1,113.279011,23.131531
224,4,480,0,295825966,5153,footway, , ,B,0,0,F,F,1,113.279166,23.131382
225,3,482,0,295825977,5153,footway, , ,B,0,0,F,F,1,113.279307,23.130667
226,3,483,0,295825964,5153,footway, , ,B,0,0,F,F,1,113.279356,23.131865
227,4,484,0,294842693,5153,footway, , ,B,0,0,F,F,1,113.279369,23.131154
228,3,486,0,294842690,5153,footway, , ,B,0,0,F,F,1,113.27938,23.130403
229,3,488,0,295825976,5153,footway, , ,B,0,0,F,F,1,113.279562,23.130737
230,3,489,0,294842690,5153,footway, , ,B,0,0,F,F,1,113.279667,23.131064
231,3,490,0,295825970,5153,footway, , ,B,0,0,F,F,1,113.279752,23.131393
232,3,491,0,329083127,5122,residential, , ,B,0,0,F,F,1,113.279177,23.092944
233,3,493,0,294842690,5153,footway, , ,B,0,0,F,F,1,113.279871,23.131224
234,3,494,0,307860237,5122,residential,麓苑路, ,B,0,0,F,F,1,113.280312,23.143958
235,3,495,0,295824003,5153,footway, , ,B,0,0,F,F,1,113.280135,23.132879
236,3,498,0,328305873,5153,footway, , ,B,0,0,F,F,1,113.280291,23.13277
237,3,500,0,294842690,5153,footway, , ,B,0,0,F,F,1,113.280471,23.131326
238,3,502,0,437105807,5122,residential, , ,B,0,0,F,F,1,113.279875,23.09468
239,3,504,0,330026922,5122,residential, , ,B,0,0,F,F,1,113.280876,23.143802
240,4,507,0,295825971,5153,footway, , ,B,0,0,F,F,1,113.280799,23.131287
241,3,508,0,295825975,5153,footway, , ,B,0,0,F,F,1,113.280865,23.131075
242,3,509,0,437105813,5153,footway, , ,B,0,0,F,F,1,113.280269,23.094349
243,3,510,0,295825973,5153,footway, , ,B,0,0,F,F,1,113.280889,23.130678
244,3,512,0,295824004,5153,footway, , ,B,0,0,F,F,1,113.280995,23.13281
245,3,514,0,294842691,5153,footway, , ,B,0,0,F,F,1,113.281192,23.131006
246,3,516,0,294842690,5153,footway, , ,B,0,0,F,F,1,113.281234,23.131687
247,3,517,0,437096992,5122,residential, , ,B,0,0,F,F,1,113.280695,23.099289
248,4,518,0,234791697,5153,footway, , ,B,0,0,F,F,1,113.281328,23.132094
249,3,519,0,294842690,5153,footway, , ,B,0,0,F,F,1,113.281351,23.132501
